fsid,ns_birthplace,parish_search,latitude,longitude,country_API,county_API
G38J-YW7,vännäs umeå landsförsamling västerbotten sweden,VÄNNÄS,63.91695480000001,19.7426794,Sweden,Västerbotten County
G38N-5NL,granås västerbotten sweden,Not identified,64.8676393,20.5816303,Sweden,Västerbotten County
G38R-V47,tallberget västerbotten sweden,Not identified,64.98686599999999,20.8030714,Sweden,Västerbotten County
G38V-CQ5,vilhelmina västerbotten sverige,VILHELMINA,64.624471,16.655497,Sweden,Västerbotten County
G39S-3SM,övre sandsele sorsele sweden,SORSELE,65.82284899999999,16.648144,Sweden,Västerbottens län
G39S-C94,forsnäs sorsele sweden,SORSELE,65.6370534,17.4396332,Sweden,Västerbotten County
G39S-DXC,kraddsele sorsele sweden,SORSELE,65.8546997,16.5300606,Sweden,Västerbotten County
G39Z-4VJ,degerfors sweden,DEGEFORS,59.2391027,14.4339179,Sweden,Örebro County
G3B1-D69,stöcke västerbotten sweden,Not identified,63.74071619999999,20.2296324,Sweden,Västerbotten County
G3B5-6F6,storsävarträsk degerfors västerbotten sweden,SÄVAR,None,None,None,
G3B5-7GP,kalvträsk burträsk sweden,BURTRÄSK,64.670698,19.7967363,Sweden,Västerbotten County
G3B9-3P1,råstrand västerbotten sweden,Not identified,65.245494,17.9972736,Sweden,Västerbotten County
G3C7-MY2,kyrkovallen nordmaling västerbotten sweden,NORDMALING,63.56873,19.5038317,Sweden,Västerbottens län
G3D3-9KX,bjurholm sweden,BJURHOLM,63.9304056,19.2192125,Sweden,Västerbotten County
G3DL-Q18,umeå lands västerbotton sweden,UMEÅ LANDS,63.8258471,20.2630354,Sweden,Västerbotten County
G3G8-ZPR,högskuru umeå sweden,UMEÅ LANDS,63.731674,19.996954,Sweden,Västerbottens län
G3GS-M69,wännäs västerbottens sweden,VÄNNÄS,63.908007,19.752965,Sweden,Västerbotten County
G3H2-44T,jrns västerbotten sweden,Not identified,64.7449668,21.1558314,Sweden,Västerbottens län
G3H2-C1Z,bjurholm ac sweden,BJURHOLM,63.9304056,19.2192125,Sweden,Västerbotten County
G3H2-R98,avatrsk västerbotten sweden,Not identified,64.3422515,16.2593481,Sweden,Västerbotten County
G3H3-2XB,sörmjöle västerbotten sweden,Not identified,63.68056550000001,20.0079099,Sweden,Västerbotten County
G3HC-KZN,ytterboda västerbotten sweden,Not identified,63.8383773,20.6025989,Sweden,Västerbotten County
G3HD-LGR,maltjälen degerfors västerbotten sweden,DEGEFORS,None,None,None,
G3HZ-193,laiksjö dorotea västerbotten sweden,DOROTEA,64.2201716,16.5447455,Sweden,Västerbotten County
G3HZ-5LX,bergvattnet dorotea västerbotten sweden,DOROTEA,None,None,None,
G3HZ-GKF,svanabyn dorotea sweden,DOROTEA,64.0966,16.6601201,Sweden,Västerbotten County
G3HZ-PL9,lajksjö dorotea sweden,DOROTEA,64.2201716,16.5447455,Sweden,Västerbotten County
G3HZ-TWG,avaträsk västerbotten sweden,Not identified,64.3422515,16.2593481,Sweden,Västerbotten County
G3J1-1TY,tegelträsk västerbotten sweden,Not identified,63.9273955,17.9317829,Sweden,Västerbotten County
G3JC-JKG,siksjö vilhelmina västerbotten sweden,VILHELMINA,64.5403505,17.1228573,Sweden,Västerbotten County
G3JW-KPC,norsjö ac sweden,NORSJÖ,64.9135093,19.4826413,Sweden,Västerbotten County
G3JW-L8T,raggsjö norsjö västerbotten sweden,NORSJÖ,64.9562718,19.1092268,Sweden,Västerbotten County
G3JW-NNP,risliden norsjö ac sweden,NORSJÖ,64.7893801,19.4140121,Sweden,Västerbotten County
G3K1-N25,stöcke umeå landsförsamling västerbotten sverige,UMEÅ LANDS,63.83162530000001,20.1678587,Sweden,Västerbottens län
G3KC-2HK,långbäcken västerbotten sweden,Not identified,64.3622862,18.1113043,Sweden,Västerbotten County
G3KJ-PQR,norsj västerbotten sweden,Not identified,64.9135093,19.4826413,Sweden,Västerbotten County
G3KV-LCP,åmnäs lycksele fs västerbotten sweden,LYCKSELE,64.5958098,18.6763669,Sweden,Västerbotten County
G3KZ-76W,sandberg sweden,Not identified,59.33424729999999,18.0768674,Sweden,Stockholms län
G3L4-P86,baggrd nordmaling västernorrland sweden,NORDMALING,None,None,None,
G3L9-4RF,fredrika västerbotten sverige,FREDRIKA,64.07311179999999,18.3975766,Sweden,Västerbotten County
G3LD-3WY,åliden norsjö våsterbotten sweden,NORSJÖ,64.8565716,19.4698512,Sweden,Västerbotten County
G3LD-VYP,åliden norsjö västerbotten sweden,NORSJÖ,64.8565716,19.4698512,Sweden,Västerbotten County
G3LP-57J,ivarsboda västerbotten sweden,Not identified,63.8717267,20.6881307,Sweden,Västerbotten County
G3LQ-6NT,sorsele ac västerbotten sweden,SORSELE,65.5349378,17.5421752,Sweden,Västerbotten County
